Time(s),CH1(V),CH2(V)
4.596325e-02,2.830151e+00,3.344724e+00
4.596605e-02,2.830151e+00,3.344724e+00
4.596885e-02,2.830151e+00,3.344724e+00
4.597165e-02,2.830151e+00,3.344724e+00
4.597445e-02,2.830151e+00,3.344724e+00
4.597725e-02,2.830151e+00,3.344724e+00
4.598005e-02,2.830151e+00,3.344724e+00
4.598285e-02,2.830151e+00,3.216081e+00
4.598565e-02,2.830151e+00,3.216081e+00
4.598845e-02,2.830151e+00,3.216081e+00
4.599125e-02,2.830151e+00,3.344724e+00
4.599405e-02,2.830151e+00,3.344724e+00
4.599685e-02,2.830151e+00,3.344724e+00
4.599965e-02,2.830151e+00,3.344724e+00
4.600245e-02,2.830151e+00,3.216081e+00
4.600525e-02,2.830151e+00,3.216081e+00
4.600805e-02,2.830151e+00,3.344724e+00
4.601085e-02,2.830151e+00,3.344724e+00
4.601365e-02,2.830151e+00,3.216081e+00
4.601645e-02,2.830151e+00,3.216081e+00
4.601925e-02,2.830151e+00,3.344724e+00
4.602205e-02,2.830151e+00,3.216081e+00
4.602485e-02,2.830151e+00,3.344724e+00
4.602765e-02,2.830151e+00,3.344724e+00
4.603045e-02,2.830151e+00,3.216081e+00
4.603325e-02,2.830151e+00,3.344724e+00
4.603605e-02,2.830151e+00,3.216081e+00
4.603885e-02,2.830151e+00,3.216081e+00
4.604165e-02,2.830151e+00,3.344724e+00
4.604445e-02,2.830151e+00,3.216081e+00
4.604725e-02,2.830151e+00,3.216081e+00
4.605005e-02,2.830151e+00,3.216081e+00
4.605285e-02,2.830151e+00,3.216081e+00
4.605565e-02,2.830151e+00,3.216081e+00
4.605845e-02,2.830151e+00,3.216081e+00
4.606125e-02,2.830151e+00,3.344724e+00
4.606405e-02,2.830151e+00,3.216081e+00
4.606685e-02,2.830151e+00,3.344724e+00
4.606965e-02,2.701508e+00,3.344724e+00
4.607245e-02,2.830151e+00,3.344724e+00
4.607525e-02,2.701508e+00,3.216081e+00
4.607805e-02,2.701508e+00,3.216081e+00
4.608085e-02,2.701508e+00,3.216081e+00
4.608365e-02,2.830151e+00,3.216081e+00
4.608645e-02,2.830151e+00,3.216081e+00
4.608925e-02,2.830151e+00,3.216081e+00
4.609205e-02,2.830151e+00,3.216081e+00
4.609485e-02,2.701508e+00,3.216081e+00
4.609765e-02,2.701508e+00,3.216081e+00
4.610045e-02,2.701508e+00,3.216081e+00
4.610325e-02,2.830151e+00,3.216081e+00
4.610605e-02,2.830151e+00,3.216081e+00
4.610885e-02,2.830151e+00,3.216081e+00
4.611165e-02,2.830151e+00,3.216081e+00
4.611445e-02,2.830151e+00,3.216081e+00
4.611725e-02,2.830151e+00,3.216081e+00
4.612005e-02,2.701508e+00,3.216081e+00
4.612285e-02,2.830151e+00,3.216081e+00
4.612565e-02,2.830151e+00,3.216081e+00
4.612845e-02,2.701508e+00,3.216081e+00
4.613125e-02,2.830151e+00,3.344724e+00
4.613405e-02,2.701508e+00,3.216081e+00
4.613685e-02,2.830151e+00,3.216081e+00
4.613965e-02,2.830151e+00,3.344724e+00
4.614245e-02,2.830151e+00,3.216081e+00
4.614525e-02,2.830151e+00,3.216081e+00
4.614805e-02,2.830151e+00,3.216081e+00
4.615085e-02,2.830151e+00,3.216081e+00
4.615365e-02,2.701508e+00,3.216081e+00
4.615645e-02,2.701508e+00,3.216081e+00
4.615925e-02,2.701508e+00,3.216081e+00
4.616205e-02,2.701508e+00,3.087437e+00
4.616485e-02,2.830151e+00,3.216081e+00
4.616765e-02,2.830151e+00,3.216081e+00
4.617045e-02,2.701508e+00,3.216081e+00
4.617325e-02,2.701508e+00,3.216081e+00
4.617605e-02,2.701508e+00,3.216081e+00
4.617885e-02,2.701508e+00,3.216081e+00
4.618165e-02,2.701508e+00,3.216081e+00
4.618445e-02,2.701508e+00,3.216081e+00
4.618725e-02,2.701508e+00,3.216081e+00
4.619005e-02,2.830151e+00,3.216081e+00
4.619285e-02,2.701508e+00,3.216081e+00
4.619565e-02,2.701508e+00,3.216081e+00
4.619845e-02,2.701508e+00,3.216081e+00
4.620125e-02,2.701508e+00,3.216081e+00
4.620405e-02,2.701508e+00,3.216081e+00
4.620685e-02,2.701508e+00,3.216081e+00
4.620965e-02,2.830151e+00,3.216081e+00
4.621245e-02,2.701508e+00,3.216081e+00
4.621525e-02,2.701508e+00,3.216081e+00
4.621805e-02,2.701508e+00,3.216081e+00
4.622085e-02,2.701508e+00,3.216081e+00
4.622365e-02,2.701508e+00,3.216081e+00
4.622645e-02,2.830151e+00,3.216081e+00
4.622925e-02,2.830151e+00,3.216081e+00
4.623205e-02,2.701508e+00,3.216081e+00
4.623485e-02,2.701508e+00,3.216081e+00
4.623765e-02,2.701508e+00,3.216081e+00
4.624045e-02,2.830151e+00,3.216081e+00
4.624325e-02,2.701508e+00,3.216081e+00
